sys/creation_time,sys/id,sys/name,final/train_loss,final/val_loss,training/hyperparams/batch_size,training/hyperparams/ca_dist_alpha,training/hyperparams/d_model,training/hyperparams/gcc_lmi_alpha,training/hyperparams/lr,training/hyperparams/n_heads,training/hyperparams/n_layers,training/hyperparams/rmsf_alpha,training/hyperparams/shp_alpha
2025-05-29 00:08:00.902,RSHPHP-66,architecture_sweep_20250528_135738_job_036_sweep,0.5417864918708801,0.8938811421394348,8,1.0,768,1.0,0.0001778279410038923,12,12,1.0,0.01
2025-05-28 18:00:34.197,RSHPHP-30,architecture_sweep_20250528_135738_job_001_sweep,0.5667513608932495,0.9041319489479065,8,1.0,768,1.0,0.0001778279410038923,6,8,1.0,0.01
2025-05-29 00:22:03.472,RSHPHP-67,architecture_sweep_20250528_135738_job_037_sweep,0.5686873197555542,0.9155399799346924,8,1.0,768,1.0,0.0001778279410038923,8,12,1.0,0.01
2025-05-28 19:15:47.428,RSHPHP-43,architecture_sweep_20250528_135738_job_013_sweep,0.5401879549026489,0.9272172451019287,8,1.0,1024,1.0,0.0001778279410038923,8,10,1.0,0.01
2025-05-29 02:19:17.495,RSHPHP-78,architecture_sweep_20250528_135738_job_048_sweep,0.5864681005477905,0.9330453872680664,8,1.0,768,1.0,0.0001778279410038923,6,6,1.0,0.01
2025-05-28 18:00:34.203,RSHPHP-31,architecture_sweep_20250528_135738_job_000_sweep,0.5848469138145447,0.9401753544807434,16,1.0,768,1.0,0.0001778279410038923,12,10,1.0,0.01
2025-05-29 00:04:01.092,RSHPHP-65,architecture_sweep_20250528_135738_job_035_sweep,0.5664050579071045,0.9416664838790894,32,1.0,1024,1.0,0.0001778279410038923,16,6,1.0,0.01
2025-05-28 21:48:04.654,RSHPHP-53,architecture_sweep_20250528_135738_job_023_sweep,0.562846839427948,0.9466705322265625,16,1.0,1024,1.0,0.0001778279410038923,8,10,1.0,0.01
2025-05-28 18:00:36.736,RSHPHP-36,architecture_sweep_20250528_135738_job_007_sweep,0.6224292516708374,0.9654648303985596,16,1.0,256,1.0,0.001,4,10,1.0,0.01
2025-05-28 23:10:07.485,RSHPHP-61,architecture_sweep_20250528_135738_job_031_sweep,0.7087779641151428,0.9776085615158081,16,1.0,512,1.0,0.001,4,10,1.0,0.01
2025-05-29 00:59:05.263,RSHPHP-71,architecture_sweep_20250528_135738_job_041_sweep,0.6714053750038147,0.9803158640861511,8,1.0,512,1.0,0.001,16,12,1.0,0.01
2025-05-28 18:00:36.635,RSHPHP-33,architecture_sweep_20250528_135738_job_009_sweep,0.5941608548164368,0.9841245412826538,8,1.0,1024,1.0,3.1622776601683795e-05,16,8,1.0,0.01
2025-05-28 22:31:54.932,RSHPHP-56,architecture_sweep_20250528_135738_job_026_sweep,0.6896534562110901,0.9847240447998047,16,1.0,256,1.0,0.0001778279410038923,8,6,1.0,0.01
2025-05-28 23:01:09.303,RSHPHP-58,architecture_sweep_20250528_135738_job_028_sweep,0.5797184705734253,0.9870452284812927,8,1.0,768,1.0,3.1622776601683795e-05,6,10,1.0,0.01
2025-05-28 18:00:36.625,RSHPHP-32,architecture_sweep_20250528_135738_job_008_sweep,0.6287350654602051,0.9955084323883057,32,1.0,512,1.0,0.0001778279410038923,16,8,1.0,0.01
2025-05-28 22:35:05.100,RSHPHP-57,architecture_sweep_20250528_135738_job_027_sweep,0.614893913269043,1.002331018447876,8,1.0,768,1.0,3.1622776601683795e-05,12,6,1.0,0.01
